,prefecture,municipality name,municipalities,region,majorIsland,district
0,Akita (秋田縣),Akita (秋田市),city,Tōhoku (東北),Honshū (本州),Akita (秋田市)
1,Akita (秋田縣),Ōdate (大館市),city,Tōhoku (東北),Honshū (本州),Ōdate (大館市)
2,Akita (秋田縣),Kazuno (鹿角市),city,Tōhoku (東北),Honshū (本州),Kazuno (鹿角市)
3,Akita (秋田縣),Daisen (大仙市),city,Tōhoku (東北),Honshū (本州),Daisen (大仙市)
4,Akita (秋田縣),Katagami (潟上市),city,Tōhoku (東北),Honshū (本州),Katagami (潟上市)
5,Akita (秋田縣),Kitaakita (北秋田市),city,Tōhoku (東北),Honshū (本州),Kitaakita (北秋田市)
6,Akita (秋田縣),Oga (男鹿市),city,Tōhoku (東北),Honshū (本州),Oga (男鹿市)
7,Akita (秋田縣),Yurihonjō (由利本荘市),city,Tōhoku (東北),Honshū (本州),Yurihonjō (由利本荘市)
8,Akita (秋田縣),Yuzawa (湯沢市),city,Tōhoku (東北),Honshū (本州),Yuzawa (湯沢市)
9,Akita (秋田縣),Semboku (仙北市),city,Tōhoku (東北),Honshū (本州),Semboku (仙北市)
10,Akita (秋田縣),Yokote (横手市),city,Tōhoku (東北),Honshū (本州),Yokote (横手市)
11,Akita (秋田縣),Nikaho (にかほ市),city,Tōhoku (東北),Honshū (本州),Nikaho (にかほ市)
12,Akita (秋田縣),Noshiro (能代市),city,Tōhoku (東北),Honshū (本州),Noshiro (能代市)
13,Akita (秋田縣),Kosaka (小坂町),town,Tōhoku (東北),Honshū (本州),Kazuno (鹿角郡)
14,Akita (秋田縣),Fujisato (藤里町),town,Tōhoku (東北),Honshū (本州),Yamamoto (山本郡)
15,Akita (秋田縣),Mitane (三種町),town,Tōhoku (東北),Honshū (本州),Yamamoto (山本郡)
16,Akita (秋田縣),Happō (八峰町),town,Tōhoku (東北),Honshū (本州),Yamamoto (山本郡)
17,Akita (秋田縣),Gojōme (五城目町),town,Tōhoku (東北),Honshū (本州),Minamiakita (南秋田郡)
18,Akita (秋田縣),Hachirōgata (八郎潟町),town,Tōhoku (東北),Honshū (本州),Minamiakita (南秋田郡)
19,Akita (秋田縣),Ikawa (井川町),town,Tōhoku (東北),Honshū (本州),Minamiakita (南秋田郡)
20,Akita (秋田縣),Misato (美郷町),town,Tōhoku (東北),Honshū (本州),Senboku (仙北郡)
21,Akita (秋田縣),Ugo (羽後町),town,Tōhoku (東北),Honshū (本州),Ogachi (雄勝郡)
22,Akita (秋田縣),Kamikoani (上小阿仁村),village,Tōhoku (東北),Honshū (本州),Kitaakita (北秋田郡)
23,Akita (秋田縣),Ōgata (大潟村),village,Tōhoku (東北),Honshū (本州),Minamiakita (南秋田郡)
24,Akita (秋田縣),Higashinaruse (東成瀬村),village,Tōhoku (東北),Honshū (本州),Ogachi (雄勝郡)
25,Aomori (青森縣),Hachinohe (八戸市),city,Tōhoku (東北),Honshū (本州),Hachinohe (八戸市)
26,Aomori (青森縣),Kuroishi (黒石市),city,Tōhoku (東北),Honshū (本州),Kuroishi (黒石市)
27,Aomori (青森縣),Misawa (三沢市),city,Tōhoku (東北),Honshū (本州),Misawa (三沢市)
28,Aomori (青森縣),Mutsu (むつ市),city,Tōhoku (東北),Honshū (本州),Mutsu (むつ市)
29,Aomori (青森縣),Towada (十和田市),city,Tōhoku (東北),Honshū (本州),Towada (十和田市)
30,Aomori (青森縣),Tsugaru (つがる市),city,Tōhoku (東北),Honshū (本州),Tsugaru (つがる市)
31,Aomori (青森縣),Goshogawara (五所川原市),city,Tōhoku (東北),Honshū (本州),Goshogawara (五所川原市)
32,Aomori (青森縣),Aomori (青森市),city,Tōhoku (東北),Honshū (本州),Aomori (青森市)
33,Aomori (青森縣),Hirakawa (平川市),city,Tōhoku (東北),Honshū (本州),Hirakawa (平川市)
34,Aomori (青森縣),Hirosaki (弘前市),city,Tōhoku (東北),Honshū (本州),Hirosaki (弘前市)
35,Aomori (青森縣),Hiranai (平内町),town,Tōhoku (東北),Honshū (本州),Higashitsugaru (東津軽郡)
36,Aomori (青森縣),Imabetsu (今別町),town,Tōhoku (東北),Honshū (本州),Higashitsugaru (東津軽郡)
37,Aomori (青森縣),Sotogahama (外ヶ浜町),town,Tōhoku (東北),Honshū (本州),Higashitsugaru (東津軽郡)
38,Aomori (青森縣),Ajigasawa (鰺ヶ沢町),town,Tōhoku (東北),Honshū (本州),Nishitsugaru (西津軽郡)
39,Aomori (青森縣),Fukaura (深浦町),town,Tōhoku (東北),Honshū (本州),Nishitsugaru (西津軽郡)
40,Aomori (青森縣),Fujisaki (藤崎町),town,Tōhoku (東北),Honshū (本州),Minamitsugaru (南津軽郡)
41,Aomori (青森縣),Ōwani (大鰐町),town,Tōhoku (東北),Honshū (本州),Minamitsugaru (南津軽郡)
42,Aomori (青森縣),Itayanagi (板柳町),town,Tōhoku (東北),Honshū (本州),Kitatsugaru (北津軽郡)
43,Aomori (青森縣),Tsuruta (鶴田町),town,Tōhoku (東北),Honshū (本州),Kitatsugaru (北津軽郡)
44,Aomori (青森縣),Nakadomari (中泊町),town,Tōhoku (東北),Honshū (本州),Kitatsugaru (北津軽郡)
45,Aomori (青森縣),Noheji (野辺地町),town,Tōhoku (東北),Honshū (本州),Kamikita (上北郡)
