,prefecture,prefecture_href_EN,prefecture_href_ZH,capital,region,majorIsland,numberOfDistricts,numberOfMunicipalities
0,Akita (秋田縣),/wiki/Akita_Prefecture,/wiki/%E7%A7%8B%E7%94%B0%E7%B8%A3,Akita (秋田市),Tōhoku (東北),Honshū (本州),6,25
1,Aomori (青森縣),/wiki/Aomori_Prefecture,/wiki/%E9%9D%92%E6%A3%AE%E7%B8%A3,Aomori (青森市),Tōhoku (東北),Honshū (本州),8,40
2,Fukushima (福島縣),/wiki/Fukushima_Prefecture,/wiki/%E7%A6%8F%E5%B3%B6%E7%B8%A3,Fukushima (福島市),Tōhoku (東北),Honshū (本州),13,59
3,Iwate (岩手縣),/wiki/Iwate_Prefecture,/wiki/%E5%B2%A9%E6%89%8B%E7%B8%A3,Morioka (盛冈市),Tōhoku (東北),Honshū (本州),10,33
4,Miyagi (宮城縣),/wiki/Miyagi_Prefecture,/wiki/%E5%AE%AE%E5%9F%8E%E7%B8%A3,Sendai (仙台市),Tōhoku (東北),Honshū (本州),10,35
5,Yamagata (山形縣),/wiki/Yamagata_Prefecture,/wiki/%E5%B1%B1%E5%BD%A2%E7%B8%A3,Yamagata (山形市),Tōhoku (東北),Honshū (本州),8,35
0,Chiba (千葉縣),/wiki/Chiba_Prefecture,/wiki/%E5%8D%83%E8%91%89%E7%B8%A3,Chiba (千葉市),Kantō (关東),Honshū (本州),6,54
1,Gunma (群馬縣),/wiki/Gunma_Prefecture,/wiki/%E7%BE%A4%E9%A6%AC%E7%B8%A3,Maebashi (前橋市),Kantō (关東),Honshū (本州),7,35
2,Ibaraki (茨城縣),/wiki/Ibaraki_Prefecture,/wiki/%E8%8C%A8%E5%9F%8E%E7%B8%A3,Mito (水戶市),Kantō (关東),Honshū (本州),7,44
3,Kanagawa (神奈川县),/wiki/Kanagawa_Prefecture,/wiki/%E7%A5%9E%E5%A5%88%E5%B7%9D%E5%8E%BF,Yokohama (橫濱市),Kantō (关東),Honshū (本州),6,33
4,Saitama (埼玉縣),/wiki/Saitama_Prefecture,/wiki/%E5%9F%BC%E7%8E%89%E7%B8%A3,Saitama (埼玉市),Kantō (关東),Honshū (本州),8,63
5,Tochigi (栃木縣),/wiki/Tochigi_Prefecture,/wiki/%E6%A0%83%E6%9C%A8%E7%B8%A3,Utsunomiya (宇都宮市),Kantō (关東),Honshū (本州),5,26
6,Tōkyō (東京都),/wiki/Tokyo,/wiki/%E6%9D%B1%E4%BA%AC%E9%83%BD,Tōkyō (新宿區),Kantō (关東),Honshū (本州),1,39
0,Aichi (愛知縣),/wiki/Aichi_Prefecture,/wiki/%E6%84%9B%E7%9F%A5%E7%B8%A3,Nagoya (名古屋市),Chūbu (中部),Honshū (本州),7,54
1,Fukui (福井縣),/wiki/Fukui_Prefecture,/wiki/%E7%A6%8F%E4%BA%95%E7%B8%A3,Fukui (福井市),Chūbu (中部),Honshū (本州),7,17
2,Gifu (岐阜縣),/wiki/Gifu_Prefecture,/wiki/%E5%B2%90%E9%98%9C%E7%B8%A3,Gifu (岐阜市),Chūbu (中部),Honshū (本州),9,42
